Country,Timeframe,Sex,Year,Age,mx
GBRTENW,Period,Female,1846,11,0.00498
GBRTENW,Period,Female,1846,12,0.00521
GBRTENW,Period,Female,1846,13,0.00558
GBRTENW,Period,Female,1846,14,0.00608
GBRTENW,Period,Female,1846,15,0.00664
GBRTENW,Period,Female,1846,16,0.00718
GBRTENW,Period,Female,1846,17,0.00779
GBRTENW,Period,Female,1846,18,0.00840
GBRTENW,Period,Female,1846,19,0.00897
GBRTENW,Period,Female,1846,20,0.00945
GBRTENW,Period,Female,1846,21,0.00985
GBRTENW,Period,Female,1846,22,0.01014
GBRTENW,Period,Female,1846,23,0.01030
GBRTENW,Period,Female,1846,24,0.01024
GBRTENW,Period,Female,1846,25,0.01001
GBRTENW,Period,Female,1846,26,0.00989
GBRTENW,Period,Female,1846,27,0.00986
GBRTENW,Period,Female,1846,28,0.00991
GBRTENW,Period,Female,1846,29,0.01012
GBRTENW,Period,Female,1846,30,0.01051
GBRTENW,Period,Female,1846,31,0.01080
GBRTENW,Period,Female,1846,32,0.01091
GBRTENW,Period,Female,1846,33,0.01099
GBRTENW,Period,Female,1846,34,0.01105
GBRTENW,Period,Female,1846,35,0.01110
GBRTENW,Period,Female,1846,36,0.01120
GBRTENW,Period,Female,1846,37,0.01138
GBRTENW,Period,Female,1846,38,0.01165
GBRTENW,Period,Female,1846,39,0.01217
GBRTENW,Period,Female,1846,40,0.01300
GBRTENW,Period,Female,1846,41,0.01361
GBRTENW,Period,Female,1846,42,0.01382
GBRTENW,Period,Female,1846,43,0.01392
GBRTENW,Period,Female,1846,44,0.01372
GBRTENW,Period,Female,1846,45,0.01322
GBRTENW,Period,Female,1846,46,0.01305
GBRTENW,Period,Female,1846,47,0.01330
